1,2,1500,35
1,11,4000,150
2,1,1500,35
2,14,2000,30
3,15,2000,50
4,5,1300,30
5,4,1300,30
5,16,1400,30
5,20,3000,100
6,7,1700,40
6,17,1600,50
7,6,1700,40
7,19,2600,70
8,9,2100,35
8,18,1400,25
9,8,2100,35
9,10,1900,30
10,9,1900,30
11,1,4000,150
12,13,1800,40
13,12,1800,40
13,14,2000,35
14,2,2000,30
14,13,2000,35
14,15,1200,30
14,16,2500,50
15,3,2000,50
15,14,1200,30
15,19,2600,100
16,5,1400,30
16,14,2500,50
17,6,1600,50
18,8,1400,25
18,19,2000,40
19,7,2600,70
19,15,2600,100
19,18,2000,40
20,5,3000,100
