1,3,600,150
2,4,500,100
3,1,600,150
3,15,350,110
4,2,500,100
4,15,300,85
4,16,250,80
5,17,200,60
6,17,250,55
7,8,150,40
8,7,150,40
8,9,220,50
9,8,220,50
9,10,180,40
10,9,180,40
10,12,1000,300
10,18,200,60
11,12,500,120
11,20,400,130
12,10,1000,300
12,11,500,120
12,13,350,80
13,12,350,80
13,14,300,90
14,13,300,90
15,3,350,110
15,4,300,85
15,20,300,110
16,4,250,80
17,5,200,60
17,6,250,55
17,19,230,50
17,20,280,90
18,10,200,60
18,19,220,70
19,17,230,50
19,18,220,70
20,11,400,130
20,15,300,110
20,17,280,90
